Name,Todo_s_For__c,Order__c,is_Major__c,Icon_Name__c,Done_Title__c,Status__c,Condition_match__c,Condition_1__c,Operator_1__c,Value_1__c,Condition_2__c,Operator_2__c,Value_2__c,Condition_3__c,Operator_3__c,Value_3__c
Loan Options Provided,Customer,1,FALSE,SmallGreen,Loan options provided,Done,,StageName,==,"CPA Started,CPA Done,Packs Out,Packs Back,Application,Submitted,Conditionally Approved,Conditional,Approved,Settlement Booked,Settled (closed won)",,,,,,
Provide purchase quote(s) or invoice,Referrer,2,FALSE,SmallGreen,Purchase quote or invoice provided,Done,,StageName,==,"CPA Started,CPA Done,Packs Out,Packs Back","Document Requested with category ""Purchase Quote or Invoice""",==,Submitted,,,
Applied,Customer,3,FALSE,SmallGreen,Applied,Done,,StageName,==,"Application,Settled (closed won)",,,,,,
Submit to credit,ParkerLane,4,FALSE,SmallGreen,Submitted,Done,,StageName,==,"Approved,FundingDocs Signed,Settlement Booked,Settled (closed won)",,,,,,
Approve,Lender,5,FALSE,SmallGreen,Approved,Done,,StageName,==,Settled (closed won),,,,,,
Request funding,Referrer,6,FALSE,SmallGreen,Funding requested,Done,,StageName,==,Funding,,,,,,
Issue Credit Contract,Lender,7,FALSE,SmallGreen,Credit contract issued,Done,,StageName,==,"Approved,Funding",,,,,,
Close Lost,ParkerLane,8,TRUE,ClosedLost,Close lost,Lost,,StageName,==,Closed Lost,,,,,,
Loan Options (referrer only),Customer,9,TRUE,LargeDone,Loan options (referrer only),Done,1 AND 2,StageName,==,"Quote,Working,Nurturing",Send_the_quote_to__c,==,Me only,,,
Loan Options Provided,Customer,10,TRUE,LargeDone,Loan options provided,Done,1 AND 2,StageName,==,"Quote,Working,Nurturing",Send_the_quote_to__c,==,Me and my customer,,,
Applying,Customer,11,TRUE,LargeApplying,Applying,Done,,StageName,==,"CPA Started,CPA Done,Packs Out,Packs Back",,,,,,
Submit to credit,ParkerLane,12,TRUE,LargeDone,Submitted,Done,,StageName,==,"Application,Submitted,Conditionally Approved,Conditional",,,,,,
Approve,Lender,13,TRUE,LargeDone,Approved,Done,,StageName,==,"Approved,Funding",,,,,,
Fund,Lender,14,TRUE,funded,Funded,Done,,StageName,==,Settled (closed won),,,,,,
Provide purchase quote(s) or invoice,Referrer,15,FALSE,SmallGreen,Purchase quote or invoice provided,Done,1 AND 2,StageName,==,"Application,Submitted,Conditionally Approved,Conditional,Unconditional,Approved,Funding,","Document Requested with category ""Purchase Quote or Invoice""",==,Submitted,,,
